ticker symbol	DBMS	version	creator	db type	constraints	schema	total ms	start time	end time	host name	no. cores	operating system	file_name
exasol	Exasol	v3.0.5	cmd	client	active	company	4006	2021-12-14 10:34:44.845931200	2021-12-14 10:34:48.851931600	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	db_seeder_cmd_complete_company_3.0.5_win10
firebird	Firebird	v3.0.5	cmd	client	active	company	90307	2021-12-14 10:36:28.795933500	2021-12-14 10:37:59.103932200	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	db_seeder_cmd_complete_company_3.0.5_win10
h2	H2 Database Engine	v3.0.5	cmd	client	active - no choice	company	6652	2021-12-14 10:39:33.371930800	2021-12-14 10:39:40.023931900	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	db_seeder_cmd_complete_company_3.0.5_win10
h2_emb	H2 Database Engine	v3.0.5	cmd	embedded	active - no choice	company	3044	2021-12-14 10:39:40.717432800	2021-12-14 10:39:43.761931800	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	db_seeder_cmd_complete_company_3.0.5_win10
hsqldb	HSQLDB	v3.0.5	cmd	client	active	company	17382	2021-12-14 10:41:19.256431400	2021-12-14 10:41:36.638931800	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	db_seeder_cmd_complete_company_3.0.5_win10
hsqldb_emb	HSQLDB	v3.0.5	cmd	embedded	active	company	2848	2021-12-14 10:41:37.341431500	2021-12-14 10:41:40.189431600	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	db_seeder_cmd_complete_company_3.0.5_win10
ibmdb2	IBM Db2 Database	v3.0.5	cmd	client	active	company	24020	2021-12-14 10:46:49.310842000	2021-12-14 10:47:13.331341800	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	db_seeder_cmd_complete_company_3.0.5_win10
informix	IBM Informix	v3.0.5	cmd	client	active	company	17362	2021-12-14 10:52:43.859842500	2021-12-14 10:53:01.221842800	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	db_seeder_cmd_complete_company_3.0.5_win10
mariadb	MariaDB Server	v3.0.5	cmd	client	active	company	3688	2021-12-14 10:55:18.942823600	2021-12-14 10:55:22.630823800	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	db_seeder_cmd_complete_company_3.0.5_win10
mimer	Mimer SQL	v3.0.5	cmd	client	active	company	8091	2021-12-14 10:57:07.524327400	2021-12-14 10:57:15.615825100	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	db_seeder_cmd_complete_company_3.0.5_win10
monetdb	MonetDB	v3.0.5	cmd	client	active	company	9435	2021-12-14 10:59:06.177327600	2021-12-14 10:59:15.612823500	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	db_seeder_cmd_complete_company_3.0.5_win10
mysql	MySQL Database	v3.0.5	cmd	client	active	company	6409	2021-12-14 11:00:25.436823200	2021-12-14 11:00:31.845824200	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	db_seeder_cmd_complete_company_3.0.5_win10
mysql_trino	MySQL Database	v3.0.5	cmd	trino	active - no choice	company	434160	2021-12-14 11:02:19.925823500	2021-12-14 11:09:34.086325300	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	db_seeder_cmd_complete_company_3.0.5_win10
omnisci	OmniSciDB	v3.0.5	cmd	client	active - no choice	company	37162	2021-12-14 11:11:52.453823300	2021-12-14 11:12:29.615903500	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	db_seeder_cmd_complete_company_3.0.5_win10
oracle	Oracle Database	v3.0.5	cmd	client	active	company	13685	2021-12-14 11:13:41.955403500	2021-12-14 11:13:55.641402900	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	db_seeder_cmd_complete_company_3.0.5_win10
oracle_trino	Oracle Database	v3.0.5	cmd	trino	active - no choice	company	301071	2021-12-14 11:15:51.676904500	2021-12-14 11:20:52.748404600	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	db_seeder_cmd_complete_company_3.0.5_win10
percona	Percona Server for MySQL	v3.0.5	cmd	client	active	company	6670	2021-12-14 11:23:12.325403700	2021-12-14 11:23:18.996403100	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	db_seeder_cmd_complete_company_3.0.5_win10
